Code;Libellé;Médiane du revenu disponible par UC 2017
200071017;CC des Terres d'Auxois;20370
200071025;CC Haute-Provence-Pays de Banon;20040
200071033;CC Jabron-Lure-Vançon-Durance;20410
200071041;CC du Chaourçois et du Val d'Armance;19540
200071058;CC Les Avant-Monts;19480
200071066;CA de Saint-Dié-des-Vosges;19060
200071074;CC Les Portes de l'Ile de France;23290
200071082;CA Montluçon Communauté;19700
200071116;CA ECLA  (Espace Communautaire Lons Agglomération);20990
200071140;CA Moulins Communauté;20310
200071157;CC des Hautes-Vosges;20080
200071165;CA Les Sables d'Olonne Agglomération;22160
200071173;CC du Pays Arnay Liernais;19530
200071181;CC Somme Sud-Ouest;20360
200071199;CC Plaine Limagne;20810
200071207;CC de Pouilly-en-Auxois/Bligny-sur-Ouche;21030
200071215;CC Chavanon Combrailles et Volcans;19130
200071223;CC Nièvre et Somme;19990
200071298;CC des Terres du Lauragais;23090
200071314;CC des Hauts Tolosans;23150
200071363;CA Vichy Communauté;19990
200071371;CC Bresse et Saône;21620
200071389;CC Saint-Pourçain Sioule Limagne;19760
200071405;CC Ardèche Rhône Coiron;20210
200071413;CA Privas Centre Ardèche;20130
200071454;CA Evreux Portes de Normandie;20740
200071470;CC Entr'Allier Besbre et Loire;18800
200071496;CC du Bocage Bourbonnais;19150
200071504;CC des Collines du Perche Normand;20090
200071512;CC Commentry Montmarault Néris Communauté;19610
200071520;CC Domfront Tinchebray Interco;19260
200071538;CC Terres de Bresse;20670
200071546;CC Sud Retz Atlantique;20020
200071553;CC Loire Layon Aubance;21560
200071579;CC Bresse Louhannaise Intercom';19800
200071587;CC Loches Sud Touraine;19790
